group, stage          , team1                 , team2                 , venue                  , city           , country, date      , kickoff_et, team1_confederation, team1_fifa_rank, team1_coach        , team2_confederation, team2_fifa_rank, team2_coach        , team1_normalized      , team2_normalized      , team1_elo, team2_elo, team1_elo_rank, team2_elo_rank, team1_last5_wins, team2_last5_wins, team1_last5_draws, team2_last5_draws, team1_last5_losses, team2_last5_losses, team1_last5_goals_for, team2_last5_goals_for, team1_last5_goals_against, team2_last5_goals_against, team1_last5_goal_difference, team2_last5_goal_difference, elo_diff, elo_rank_diff, last5_goal_diff_difference, last5_win_difference
E    , Group Stage    , Ivory Coast           , Ecuador               , Lincoln Financial Field, Philadelphia   , USA    , 2026-06-14, 19:00 ET  , CAF                ,            33.0, Emerse Faé         , CONMEBOL           ,            24.0, Sebastián Beccacece, Ivory Coast           , Ecuador               ,    1676.0,    1933.0,           52.0,            9.0,              4.0,              2.0,               0.0,               2.0,                1.0,                1.0,                  10.0,                   7.0,                       4.0,                       4.0, 6.0                        , 3.0                        , -257.0  , 43.0         , 3.0                       , 2.0
E    , Group Stage    , Germany               , Curaçao               , NRG Stadium            , Houston        , USA    , 2026-06-14, 13:00 ET  , UEFA               ,            10.0, Julian Nagelsmann  , CONCACAF           ,            81.0, Dick Advocaat      , Germany               , Curaçao               ,    1923.0,    1436.0,           11.0,           90.0,              5.0,              1.0,               0.0,               0.0,                0.0,                4.0,                  19.0,                   7.0,                       6.0,                      18.0, 13.0                       , -11.0                      , 487.0   , -79.0        , 24.0                      , 4.0
G    , Group Stage    , Iran                  , New Zealand           , SoFi Stadium           , Inglewood      , USA    , 2026-06-15, 18:00 ET  , AFC                ,            21.0, Amir Ghalenoei     , OFC                ,            95.0, Darren Bazeley     , Iran                  , New Zealand           ,    1760.0,    1585.0,           31.0,           68.0,              3.0,              1.0,               1.0,               1.0,                1.0,                3.0,                  13.0,                   6.0,                       5.0,                      10.0, 8.0                        , -4.0                       , 175.0   , -37.0        , 12.0                      , 2.0
G    , Group Stage    , Belgium               , Egypt                 , Lumen Field            , Seattle        , USA    , 2026-06-15, 15:00 ET  , UEFA               ,             9.0, Domenico Tedesco   , CAF                ,            29.0, Hossam El-Badry    , Belgium               , Egypt                 ,    1867.0,    1689.0,           19.0,           51.0,              3.0,              2.0,               2.0,               2.0,                0.0,                1.0,                  14.0,                   7.0,                       4.0,                       3.0, 10.0                       , 4.0                        , 178.0   , -32.0        , 6.0                       , 1.0
H    , Group Stage    , Saudi Arabia          , Uruguay               , Hard Rock Stadium      , Miami          , USA    , 2026-06-15, 15:00 ET  , AFC                ,            57.0, Roberto Mancini    , CONMEBOL           ,            17.0, Marcelo Bielsa     , Saudi Arabia          , Uruguay               ,    1568.0,    1892.0,           71.0,           15.0,              1.0,              0.0,               2.0,               4.0,                2.0,                1.0,                   6.0,                   3.0,                       5.0,                       7.0, 1.0                        , -4.0                       , -324.0  , 56.0         , 5.0                       , 1.0
H    , Group Stage    , Spain                 , Cape Verde            , Mercedes-Benz Stadium  , Atlanta        , USA    , 2026-06-15, 12:00 ET  , UEFA               ,             2.0, Luis de la Fuente  , CAF                ,            70.0, Pedro Brito        , Spain                 , Cape Verde            ,    2165.0,    1549.0,            1.0,           72.0,              2.0,              1.0,               3.0,               2.0,                0.0,                2.0,                   7.0,                   6.0,                       2.0,                       8.0, 5.0                        , -2.0                       , 616.0   , -71.0        , 7.0                       , 1.0
I    , Group Stage    , Iraq                  , Norway                , Gillette Stadium       , Foxborough     , USA    , 2026-06-16, 18:00 ET  , AFC                ,            61.0, Graham Arnold      , UEFA               ,            44.0, Ståle Solbakken    , Iraq                  , Norway                ,    1607.0,    1912.0,           63.0,           12.0,              2.0,              2.0,               1.0,               2.0,                2.0,                1.0,                   5.0,                   9.0,                       8.0,                       5.0, -3.0                       , 4.0                        , -305.0  , 51.0         , -7.0                      , 0.0
J    , Group Stage    , Argentina             , Algeria               , Arrowhead Stadium      , Kansas City    , USA    , 2026-06-16, 21:00 ET  , CONMEBOL           ,             3.0, Lionel Scaloni     , CAF                ,            36.0, Vladimir Petkovic  , Argentina             , Algeria               ,    2113.0,    1743.0,            2.0,           35.0,              5.0,              3.0,               0.0,               1.0,                0.0,                1.0,                  15.0,                  12.0,                       1.0,                       3.0, 14.0                       , 9.0                        , 370.0   , -33.0        , 5.0                       , 2.0
I    , Group Stage    , France                , Senegal               , MetLife Stadium        , East Rutherford, USA    , 2026-06-16, 15:00 ET  , UEFA               ,             1.0, Didier Deschamps   , CAF                ,            14.0, Aliou Cissé        , France                , Senegal               ,    2081.0,    1878.0,            3.0,           17.0,              4.0,              2.0,               0.0,               1.0,                1.0,                2.0,                  12.0,                   8.0,                       6.0,                       7.0, 6.0                        , 1.0                        , 203.0   , -14.0        , 5.0                       , 2.0
J    , Group Stage    , Austria               , Jordan                , AT&T Stadium           , Arlington      , USA    , 2026-06-17, 00:00 ET  , UEFA               ,            23.0, Ralf Rangnick      , AFC                ,            68.0, Hussain Ammouta    , Austria               , Jordan                ,    1827.0,    1690.0,           23.0,           50.0,              4.0,              0.0,               1.0,               2.0,                0.0,                3.0,                  11.0,                   6.0,                       3.0,                      13.0, 8.0                        , -7.0                       , 137.0   , -27.0        , 15.0                      , 4.0
