group, stage          , team1                 , team2                 , venue                  , city           , country, date      , kickoff_et, team1_confederation, team1_fifa_rank, team1_coach        , team2_confederation, team2_fifa_rank, team2_coach        , team1_normalized      , team2_normalized      , team1_elo, team2_elo, team1_elo_rank, team2_elo_rank, team1_last5_wins, team2_last5_wins, team1_last5_draws, team2_last5_draws, team1_last5_losses, team2_last5_losses, team1_last5_goals_for, team2_last5_goals_for, team1_last5_goals_against, team2_last5_goals_against, team1_last5_goal_difference, team2_last5_goal_difference, elo_diff, elo_rank_diff, last5_goal_diff_difference, last5_win_difference
E    , Group Stage    , Curaçao               , Ivory Coast           , AT&T Stadium           , Arlington      , USA    , 2026-06-25, 18:00 ET  , CONCACAF           ,            81.0, Dick Advocaat      , CAF                ,            33.0, Emerse Faé         , Curaçao               , Ivory Coast           ,    1436.0,    1676.0,           90.0,           52.0,              1.0,              4.0,               0.0,               0.0,                4.0,                1.0,                   7.0,                  10.0,                      18.0,                       4.0, -11.0                      , 6.0                        , -240.0  , 38.0         , -17.0                     , -3.0
E    , Group Stage    , Ecuador               , Germany               , AT&T Stadium           , Arlington      , USA    , 2026-06-25, 18:00 ET  , CONMEBOL           ,            24.0, Sebastián Beccacece, UEFA               ,            10.0, Julian Nagelsmann  , Ecuador               , Germany               ,    1933.0,    1923.0,            9.0,           11.0,              2.0,              5.0,               2.0,               0.0,                1.0,                0.0,                   7.0,                  19.0,                       4.0,                       6.0, 3.0                        , 13.0                       , 10.0    , -2.0         , -10.0                     , -3.0
D    , Group Stage    , Paraguay              , Australia             , AT&T Stadium           , Arlington      , USA    , 2026-06-25, 21:00 ET  , CONMEBOL           ,            64.0, Gustavo Alfaro     , AFC                ,            26.0, Tony Popovic       , Paraguay              , Australia             ,    1833.0,    1783.0,           22.0,           26.0,              3.0,              3.0,               0.0,               1.0,                2.0,                1.0,                   9.0,                   9.0,                       7.0,                       3.0, 2.0                        , 6.0                        , 50.0    , -4.0         , -4.0                      , 0.0
D    , Group Stage    , Türkiye               , USA                   , AT&T Stadium           , Arlington      , USA    , 2026-06-25, 21:00 ET  , UEFA               ,            42.0, Vincenzo Montella  , CONCACAF           ,            16.0, Mauricio Pochettino, Turkey                , United States         ,    1902.0,    1721.0,           14.0,           41.0,              4.0,              2.0,               0.0,               0.0,                1.0,                3.0,                   8.0,                  10.0,                       3.0,                      12.0, 5.0                        , -2.0                       , 181.0   , -27.0        , 7.0                       , 2.0
G    , Group Stage    , Egypt                 , Iran                  , Lumen Field            , Seattle        , USA    , 2026-06-26, 18:00 ET  , CAF                ,            29.0, Hossam El-Badry    , AFC                ,            21.0, Amir Ghalenoei     , Egypt                 , Iran                  ,    1689.0,    1760.0,           51.0,           31.0,              2.0,              3.0,               2.0,               1.0,                1.0,                1.0,                   7.0,                  13.0,                       3.0,                       5.0, 4.0                        , 8.0                        , -71.0   , 20.0         , -4.0                      , -1.0
I    , Group Stage    , Senegal               , Iraq                  , MetLife Stadium        , East Rutherford, USA    , 2026-06-26, 15:00 ET  , CAF                ,            14.0, Aliou Cissé        , AFC                ,            61.0, Graham Arnold      , Senegal               , Iraq                  ,    1878.0,    1607.0,           17.0,           63.0,              2.0,              2.0,               1.0,               1.0,                2.0,                2.0,                   8.0,                   5.0,                       7.0,                       8.0, 1.0                        , -3.0                       , 271.0   , -46.0        , 4.0                       , 0.0
I    , Group Stage    , Norway                , France                , MetLife Stadium        , East Rutherford, USA    , 2026-06-26, 15:00 ET  , UEFA               ,            44.0, Ståle Solbakken    , UEFA               ,             1.0, Didier Deschamps   , Norway                , France                ,    1912.0,    2081.0,           12.0,            3.0,              2.0,              4.0,               2.0,               0.0,                1.0,                1.0,                   9.0,                  12.0,                       5.0,                       6.0, 4.0                        , 6.0                        , -169.0  , 9.0          , -2.0                      , -2.0
G    , Group Stage    , New Zealand           , Belgium               , SoFi Stadium           , Inglewood      , USA    , 2026-06-26, 18:00 ET  , OFC                ,            95.0, Darren Bazeley     , UEFA               ,             9.0, Domenico Tedesco   , New Zealand           , Belgium               ,    1585.0,    1867.0,           68.0,           19.0,              1.0,              3.0,               1.0,               2.0,                3.0,                0.0,                   6.0,                  14.0,                      10.0,                       4.0, -4.0                       , 10.0                       , -282.0  , 49.0         , -14.0                     , -2.0
H    , Group Stage    , Uruguay               , Spain                 , Estadio Akron          , Guadalajara    , Mexico , 2026-06-26, 20:00 ET  , CONMEBOL           ,            17.0, Marcelo Bielsa     , UEFA               ,             2.0, Luis de la Fuente  , Uruguay               , Spain                 ,    1892.0,    2165.0,           15.0,            1.0,              0.0,              2.0,               4.0,               3.0,                1.0,                0.0,                   3.0,                   7.0,                       7.0,                       2.0, -4.0                       , 5.0                        , -273.0  , 14.0         , -9.0                      , -2.0
H    , Group Stage    , Cape Verde            , Saudi Arabia          , Estadio Akron          , Guadalajara    , Mexico , 2026-06-26, 20:00 ET  , CAF                ,            70.0, Pedro Brito        , AFC                ,            57.0, Roberto Mancini    , Cape Verde            , Saudi Arabia          ,    1549.0,    1568.0,           72.0,           71.0,              1.0,              1.0,               2.0,               2.0,                2.0,                2.0,                   6.0,                   6.0,                       8.0,                       5.0, -2.0                       , 1.0                        , -19.0   , 1.0          , -3.0                      , 0.0
F    , Group Stage    , Japan                 , Sweden                , AT&T Stadium           , Arlington      , USA    , 2026-06-26, 15:00 ET  , AFC                ,            18.0, Hajime Moriyasu    , UEFA               ,            39.0, Jon Dahl Tomasson  , Japan                 , Sweden                ,    1904.0,    1719.0,           13.0,           43.0,              4.0,              3.0,               1.0,               1.0,                0.0,                1.0,                   8.0,                  14.0,                       2.0,                       9.0, 6.0                        , 5.0                        , 185.0   , -30.0        , 1.0                       , 1.0
F    , Group Stage    , Tunisia               , Netherlands           , AT&T Stadium           , Arlington      , USA    , 2026-06-26, 15:00 ET  , CAF                ,            40.0, Faouzi Benzarti    , UEFA               ,             7.0, Ronald Koeman      , Tunisia               , Netherlands           ,    1636.0,    1961.0,           58.0,            8.0,              1.0,              2.0,               1.0,               2.0,                3.0,                1.0,                   2.0,                   7.0,                      11.0,                       6.0, -9.0                       , 1.0                        , -325.0  , 50.0         , -10.0                     , -1.0
J    , Group Stage    , Jordan                , Argentina             , AT&T Stadium           , Arlington      , USA    , 2026-06-27, 22:00 ET  , AFC                ,            68.0, Hussain Ammouta    , CONMEBOL           ,             3.0, Lionel Scaloni     , Jordan                , Argentina             ,    1690.0,    2113.0,           50.0,            2.0,              0.0,              5.0,               2.0,               0.0,                3.0,                0.0,                   6.0,                  15.0,                      13.0,                       1.0, -7.0                       , 14.0                       , -423.0  , 48.0         , -21.0                     , -5.0
L    , Group Stage    , Panama                , England               , MetLife Stadium        , East Rutherford, USA    , 2026-06-27, 15:00 ET  , CONCACAF           ,            53.0, Thomas Christiansen, UEFA               ,             4.0, Thomas Tuchel      , Panama                , England               ,    1737.0,    2020.0,           36.0,            4.0,              2.0,              3.0,               1.0,               1.0,                2.0,                1.0,                   9.0,                   9.0,                      11.0,                       4.0, -2.0                       , 5.0                        , -283.0  , 32.0         , -7.0                      , -1.0
K    , Group Stage    , Colombia              , Portugal              , Hard Rock Stadium      , Miami          , USA    , 2026-06-27, 20:00 ET  , CONMEBOL           ,            13.0, Néstor Lorenzo     , UEFA               ,             5.0, Roberto Martínez   , Colombia              , Portugal              ,    1975.0,    1984.0,            7.0,            5.0,              3.0,              3.0,               0.0,               2.0,                2.0,                0.0,                  10.0,                   7.0,                       7.0,                       3.0, 3.0                        , 4.0                        , -9.0    , 2.0          , -1.0                      , 0.0
K    , Group Stage    , DR Congo              , Uzbekistan            , Hard Rock Stadium      , Miami          , USA    , 2026-06-27, 20:00 ET  , CAF                ,            51.0, Sébastien Desabre  , AFC                ,            62.0, Srecko Katanec     , DR Congo              , Uzbekistan            ,    1655.0,    1727.0,           54.0,           38.0,              2.0,              1.0,               2.0,               1.0,                1.0,                3.0,                   5.0,                   5.0,                       3.0,                       8.0, 2.0                        , -3.0                       , -72.0   , 16.0         , 5.0                       , 1.0
J    , Group Stage    , Algeria               , Austria               , Arrowhead Stadium      , Kansas City    , USA    , 2026-06-27, 22:00 ET  , CAF                ,            36.0, Vladimir Petkovic  , UEFA               ,            23.0, Ralf Rangnick      , Algeria               , Austria               ,    1743.0,    1827.0,           35.0,           23.0,              3.0,              4.0,               1.0,               1.0,                1.0,                0.0,                  12.0,                  11.0,                       3.0,                       3.0, 9.0                        , 8.0                        , -84.0   , 12.0         , 1.0                       , -1.0
L    , Group Stage    , Croatia               , Ghana                 , MetLife Stadium        , East Rutherford, USA    , 2026-06-27, 15:00 ET  , UEFA               ,            11.0, Zlatko Dalić       , CAF                ,            65.0, Otto Addo          , Croatia               , Ghana                 ,    1930.0,    1503.0,           10.0,           82.0,              2.0,              1.0,               0.0,               1.0,                3.0,                3.0,                   7.0,                   4.0,                      11.0,                      10.0, -4.0                       , -6.0                       , 427.0   , -72.0        , 2.0                       , 1.0
     , Round of 32    , 1B                    , 2A                    , AT&T Stadium           , Arlington      , USA    , 2026-06-28, TBD       ,                    ,                ,                    ,                    ,                ,                    , 1B                    , 2A                    ,          ,          ,               ,               ,                 ,                 ,                  ,                  ,                   ,                   ,                      ,                      ,                          ,                          ,                            ,                            ,         ,              ,                           , 
     , Round of 32    , 1A                    , 2B                    , MetLife Stadium        , East Rutherford, USA    , 2026-06-28, TBD       ,                    ,                ,                    ,                    ,                ,                    , 1A                    , 2B                    ,          ,          ,               ,               ,                 ,                 ,                  ,                  ,                   ,                   ,                      ,                      ,                          ,                          ,                            ,                            ,         ,              ,                           , 
     , Round of 32    , 1C                    , 2D                    , NRG Stadium            , Houston        , USA    , 2026-06-29, TBD       ,                    ,                ,                    ,                    ,                ,                    , 1C                    , 2D                    ,          ,          ,               ,               ,                 ,                 ,                  ,                  ,                   ,                   ,                      ,                      ,                          ,                          ,                            ,                            ,         ,              ,                           , 
     , Round of 32    , 1D                    , 2C                    , Rose Bowl              , Pasadena       , USA    , 2026-06-29, TBD       ,                    ,                ,                    ,                    ,                ,                    , 1D                    , 2C                    ,          ,          ,               ,               ,                 ,                 ,                  ,                  ,                   ,                   ,                      ,                      ,                          ,                          ,                            ,                            ,         ,              ,                           , 
     , Round of 32    , 1E                    , 2F                    , SoFi Stadium           , Inglewood      , USA    , 2026-06-30, TBD       ,                    ,                ,                    ,                    ,                ,                    , 1E                    , 2F                    ,          ,          ,               ,               ,                 ,                 ,                  ,                  ,                   ,                   ,                      ,                      ,                          ,                          ,                            ,                            ,         ,              ,                           , 
     , Round of 32    , 1F                    , 2E                    , Lumen Field            , Seattle        , USA    , 2026-06-30, TBD       ,                    ,                ,                    ,                    ,                ,                    , 1F                    , 2E                    ,          ,          ,               ,               ,                 ,                 ,                  ,                  ,                   ,                   ,                      ,                      ,                          ,                          ,                            ,                            ,         ,              ,                           , 
     , Round of 32    , 1G                    , 2H                    , Mercedes-Benz Stadium  , Atlanta        , USA    , 2026-07-01, TBD       ,                    ,                ,                    ,                    ,                ,                    , 1G                    , 2H                    ,          ,          ,               ,               ,                 ,                 ,                  ,                  ,                   ,                   ,                      ,                      ,                          ,                          ,                            ,                            ,         ,              ,                           , 
     , Round of 32    , 1H                    , 2G                    , Hard Rock Stadium      , Miami          , USA    , 2026-07-01, TBD       ,                    ,                ,                    ,                    ,                ,                    , 1H                    , 2G                    ,          ,          ,               ,               ,                 ,                 ,                  ,                  ,                   ,                   ,                      ,                      ,                          ,                          ,                            ,                            ,         ,              ,                           , 
     , Round of 32    , 1I                    , 2J                    , Lincoln Financial Field, Philadelphia   , USA    , 2026-07-02, TBD       ,                    ,                ,                    ,                    ,                ,                    , 1I                    , 2J                    ,          ,          ,               ,               ,                 ,                 ,                  ,                  ,                   ,                   ,                      ,                      ,                          ,                          ,                            ,                            ,         ,              ,                           , 
     , Round of 32    , 1J                    , 2I                    , Arrowhead Stadium      , Kansas City    , USA    , 2026-07-02, TBD       ,                    ,                ,                    ,                    ,                ,                    , 1J                    , 2I                    ,          ,          ,               ,               ,                 ,                 ,                  ,                  ,                   ,                   ,                      ,                      ,                          ,                          ,                            ,                            ,         ,              ,                           , 
     , Round of 32    , 1K                    , 2L                    , Gillette Stadium       , Foxborough     , USA    , 2026-07-03, TBD       ,                    ,                ,                    ,                    ,                ,                    , 1K                    , 2L                    ,          ,          ,               ,               ,                 ,                 ,                  ,                  ,                   ,                   ,                      ,                      ,                          ,                          ,                            ,                            ,         ,              ,                           , 
     , Round of 32    , 1L                    , 2K                    , BC Place               , Vancouver      , Canada , 2026-07-03, TBD       ,                    ,                ,                    ,                    ,                ,                    , 1L                    , 2K                    ,          ,          ,               ,               ,                 ,                 ,                  ,                  ,                   ,                   ,                      ,                      ,                          ,                          ,                            ,                            ,         ,              ,                           , 
     , Round of 32    , Best 3rd #1           , Best 3rd #2           , BMO Field              , Toronto        , Canada , 2026-07-03, TBD       ,                    ,                ,                    ,                    ,                ,                    , Best 3rd #1           , Best 3rd #2           ,          ,          ,               ,               ,                 ,                 ,                  ,                  ,                   ,                   ,                      ,                      ,                          ,                          ,                            ,                            ,         ,              ,                           , 
     , Round of 32    , Best 3rd #3           , Best 3rd #4           , Estadio BBVA           , Monterrey      , Mexico , 2026-07-03, TBD       ,                    ,                ,                    ,                    ,                ,                    , Best 3rd #3           , Best 3rd #4           ,          ,          ,               ,               ,                 ,                 ,                  ,                  ,                   ,                   ,                      ,                      ,                          ,                          ,                            ,                            ,         ,              ,                           , 
     , Round of 16    , R32 W1                , R32 W2                , AT&T Stadium           , Arlington      , USA    , 2026-07-04, TBD       ,                    ,                ,                    ,                    ,                ,                    , R32 W1                , R32 W2                ,          ,          ,               ,               ,                 ,                 ,                  ,                  ,                   ,                   ,                      ,                      ,                          ,                          ,                            ,                            ,         ,              ,                           , 
     , Round of 32    , Best 3rd #7           , Best 3rd #8           , Estadio Azteca         , Mexico City    , Mexico , 2026-07-04, TBD       ,                    ,                ,                    ,                    ,                ,                    , Best 3rd #7           , Best 3rd #8           ,          ,          ,               ,               ,                 ,                 ,                  ,                  ,                   ,                   ,                      ,                      ,                          ,                          ,                            ,                            ,         ,              ,                           , 
     , Round of 32    , Best 3rd #5           , Best 3rd #6           , Estadio Akron          , Guadalajara    , Mexico , 2026-07-04, TBD       ,                    ,                ,                    ,                    ,                ,                    , Best 3rd #5           , Best 3rd #6           ,          ,          ,               ,               ,                 ,                 ,                  ,                  ,                   ,                   ,                      ,                      ,                          ,                          ,                            ,                            ,         ,              ,                           , 
     , Round of 16    , R32 W3                , R32 W4                , MetLife Stadium        , East Rutherford, USA    , 2026-07-05, TBD       ,                    ,                ,                    ,                    ,                ,                    , R32 W3                , R32 W4                ,          ,          ,               ,               ,                 ,                 ,                  ,                  ,                   ,                   ,                      ,                      ,                          ,                          ,                            ,                            ,         ,              ,                           , 
     , Round of 16    , R32 W5                , R32 W6                , Rose Bowl              , Pasadena       , USA    , 2026-07-05, TBD       ,                    ,                ,                    ,                    ,                ,                    , R32 W5                , R32 W6                ,          ,          ,               ,               ,                 ,                 ,                  ,                  ,                   ,                   ,                      ,                      ,                          ,                          ,                            ,                            ,         ,              ,                           , 
     , Round of 16    , R32 W7                , R32 W8                , NRG Stadium            , Houston        , USA    , 2026-07-06, TBD       ,                    ,                ,                    ,                    ,                ,                    , R32 W7                , R32 W8                ,          ,          ,               ,               ,                 ,                 ,                  ,                  ,                   ,                   ,                      ,                      ,                          ,                          ,                            ,                            ,         ,              ,                           , 
     , Round of 16    , R32 W9                , R32 W10               , SoFi Stadium           , Inglewood      , USA    , 2026-07-06, TBD       ,                    ,                ,                    ,                    ,                ,                    , R32 W9                , R32 W10               ,          ,          ,               ,               ,                 ,                 ,                  ,                  ,                   ,                   ,                      ,                      ,                          ,                          ,                            ,                            ,         ,              ,                           , 
     , Round of 16    , R32 W11               , R32 W12               , Lumen Field            , Seattle        , USA    , 2026-07-07, TBD       ,                    ,                ,                    ,                    ,                ,                    , R32 W11               , R32 W12               ,          ,          ,               ,               ,                 ,                 ,                  ,                  ,                   ,                   ,                      ,                      ,                          ,                          ,                            ,                            ,         ,              ,                           , 
     , Round of 16    , R32 W13               , R32 W14               , Hard Rock Stadium      , Miami          , USA    , 2026-07-07, TBD       ,                    ,                ,                    ,                    ,                ,                    , R32 W13               , R32 W14               ,          ,          ,               ,               ,                 ,                 ,                  ,                  ,                   ,                   ,                      ,                      ,                          ,                          ,                            ,                            ,         ,              ,                           , 
     , Round of 16    , R32 W15               , R32 W16               , Mercedes-Benz Stadium  , Atlanta        , USA    , 2026-07-07, TBD       ,                    ,                ,                    ,                    ,                ,                    , R32 W15               , R32 W16               ,          ,          ,               ,               ,                 ,                 ,                  ,                  ,                   ,                   ,                      ,                      ,                          ,                          ,                            ,                            ,         ,              ,                           , 
     , Quarter-final  , QF1                   , QF2                   , AT&T Stadium           , Arlington      , USA    , 2026-07-09, TBD       ,                    ,                ,                    ,                    ,                ,                    , QF1                   , QF2                   ,          ,          ,               ,               ,                 ,                 ,                  ,                  ,                   ,                   ,                      ,                      ,                          ,                          ,                            ,                            ,         ,              ,                           , 
     , Quarter-final  , QF3                   , QF4                   , MetLife Stadium        , East Rutherford, USA    , 2026-07-10, TBD       ,                    ,                ,                    ,                    ,                ,                    , QF3                   , QF4                   ,          ,          ,               ,               ,                 ,                 ,                  ,                  ,                   ,                   ,                      ,                      ,                          ,                          ,                            ,                            ,         ,              ,                           , 
     , Quarter-final  , QF5                   , QF6                   , Rose Bowl              , Pasadena       , USA    , 2026-07-10, TBD       ,                    ,                ,                    ,                    ,                ,                    , QF5                   , QF6                   ,          ,          ,               ,               ,                 ,                 ,                  ,                  ,                   ,                   ,                      ,                      ,                          ,                          ,                            ,                            ,         ,              ,                           , 
     , Quarter-final  , QF7                   , QF8                   , NRG Stadium            , Houston        , USA    , 2026-07-11, TBD       ,                    ,                ,                    ,                    ,                ,                    , QF7                   , QF8                   ,          ,          ,               ,               ,                 ,                 ,                  ,                  ,                   ,                   ,                      ,                      ,                          ,                          ,                            ,                            ,         ,              ,                           , 
     , Semi-final     , SF1                   , SF2                   , AT&T Stadium           , Arlington      , USA    , 2026-07-14, TBD       ,                    ,                ,                    ,                    ,                ,                    , SF1                   , SF2                   ,          ,          ,               ,               ,                 ,                 ,                  ,                  ,                   ,                   ,                      ,                      ,                          ,                          ,                            ,                            ,         ,              ,                           , 
     , Semi-final     , SF3                   , SF4                   , MetLife Stadium        , East Rutherford, USA    , 2026-07-15, TBD       ,                    ,                ,                    ,                    ,                ,                    , SF3                   , SF4                   ,          ,          ,               ,               ,                 ,                 ,                  ,                  ,                   ,                   ,                      ,                      ,                          ,                          ,                            ,                            ,         ,              ,                           , 
     , 3rd Place Match, 3rd Place             , 3rd Place             , Hard Rock Stadium      , Miami          , USA    , 2026-07-18, TBD       ,                    ,                ,                    ,                    ,                ,                    , 3rd Place             , 3rd Place             ,          ,          ,               ,               ,                 ,                 ,                  ,                  ,                   ,                   ,                      ,                      ,                          ,                          ,                            ,                            ,         ,              ,                           , 
     , Final          , Finalist 1            , Finalist 2            , MetLife Stadium        , East Rutherford, USA    , 2026-07-19, TBD       ,                    ,                ,                    ,                    ,                ,                    , Finalist 1            , Finalist 2            ,          ,          ,               ,               ,                 ,                 ,                  ,                  ,                   ,                   ,                      ,                      ,                          ,                          ,                            ,                            ,         ,              ,                           , 
